x,y,z,qx,qy,qz,qw,t
0.692005,0.020467,-0.256431,0.090574,0.631735,0.760142,-0.122031,0.0
0.681392,-0.000822,-0.259652,0.168428,0.608935,0.759332,-0.155707,0.1
0.675961,-0.017351,-0.255685,0.239977,0.584772,0.752065,-0.186683,0.2
0.675895,-0.029318,-0.245171,0.303874,0.561778,0.739104,-0.213989,0.3
0.681,-0.036653,-0.228613,0.359294,0.542294,0.721732,-0.236492,0.4
0.690797,-0.039036,-0.206381,0.405765,0.528238,0.701639,-0.253024,0.5
0.704585,-0.035962,-0.178737,0.442962,0.520944,0.68079,-0.262539,0.6
0.721454,-0.026845,-0.145883,0.47052,0.521066,0.661259,-0.264269,0.7
0.740288,-0.01113,-0.108013,0.487906,0.528554,0.645047,-0.257864,0.8
0.75976,0.01158,-0.065367,0.494395,0.542673,0.633878,-0.243472,0.9
0.778351,0.041394,-0.018291,0.489148,0.562062,0.629006,-0.221747,1.0
0.794419,0.078023,0.032699,0.471386,0.58484,0.631038,-0.193776,1.1
0.806323,0.120689,0.086852,0.440609,0.608752,0.639831,-0.160936,1.2
0.812616,0.168093,0.143125,0.396839,0.631367,0.65448,-0.1247,1.3
0.812272,0.218468,0.200158,0.340792,0.650313,0.673409,-0.086454,1.4
0.804911,0.26973,0.256297,0.273963,0.66354,0.694563,-0.047347,1.5
0.790945,0.319715,0.30967,0.198578,0.669574,0.71566,-0.008224,1.6
0.77161,0.366449,0.358315,0.117426,0.667711,0.734474,0.030354,1.7
0.748842,0.408388,0.400335,0.033587,0.658122,0.749081,0.068013,1.8
0.725038,0.444549,0.434052,-0.049871,0.641847,0.758051,0.104421,1.9
0.702734,0.474512,0.458119,-0.130181,0.620664,0.760569,0.139154,2.0
0.684287,0.498268,0.471584,-0.205088,0.596864,0.756472,0.171588,2.1
0.67161,0.515994,0.473899,-0.272944,0.572975,0.746227,0.200863,2.2
0.665984,0.527812,0.464887,-0.332679,0.551465,0.730872,0.225914,2.3
0.667944,0.533603,0.444702,-0.383669,0.534489,0.711907,0.245574,2.4
0.677232,0.532934,0.4138,-0.425543,0.523688,0.69118,0.258715,2.5
0.692798,0.525117,0.372934,-0.457974,0.520064,0.670731,0.26441,2.6
0.712859,0.509397,0.323189,-0.480525,0.523919,0.652621,0.262086,2.7
0.735036,0.485217,0.266013,-0.492564,0.534856,0.63874,0.251637,2.8
0.756594,0.452515,0.203247,-0.493291,0.551815,0.630601,0.233467,2.9
0.774782,0.411947,0.137094,-0.481872,0.573161,0.62915,0.208461,3.0
0.787237,0.364979,0.070032,-0.457637,0.596805,0.634629,0.177873,3.1
0.792375,0.313786,0.004644,-0.420322,0.620375,0.646508,0.143151,3.2
0.789673,0.26097,-0.056592,-0.370275,0.641437,0.66353,0.105749,3.3
0.779747,0.209162,-0.111537,-0.308602,0.657749,0.683848,0.066948,3.4
0.764203,0.16062,-0.158573,-0.237176,0.66752,0.705262,0.027747,3.5
0.745295,0.116947,-0.196706,-0.158534,0.66964,0.725483,-0.01116,3.6
0.725503,0.078988,-0.225565,-0.075646,0.663836,0.742406,-0.049319,3.7
0.707126,0.046919,-0.245301,0.008373,0.650724,0.754337,-0.086396,3.8
0.692005,0.020467,-0.256431,0.090574,0.631735,0.760142,-0.122031,3.9
